label,species,accession,tier,clade,length,is_query,source
peromyscus_maniculatus_bairdii,peromyscus_maniculatus_bairdii,XP_006992891.2,1,Rodentia(other),402,False,NCBI_RefSeq
rattus_norvegicus,rattus_norvegicus,NP_848017.2,1,Rodentia(other),401,False,NCBI_RefSeq
urocitellus_parryii,urocitellus_parryii,XP_026268254.1,1,Rodentia(other),413,False,NCBI_RefSeq
dasypus_novemcinctus,dasypus_novemcinctus,XP_058165523.1,1,Xenarthra,443,False,NCBI_RefSeq
danio_rerio,danio_rerio,NP_001002595.2,2,Actinopterygii,358,False,NCBI_RefSeq
xenopus_tropicalis,xenopus_tropicalis,NP_001015960.1,2,Amphibia,394,False,NCBI_RefSeq
drosophila_melanogaster,drosophila_melanogaster,NP_001287171.1,2,Arthropoda,478,False,NCBI_RefSeq
anas,anas_platyrhynchos_platyrhynchos,XP_005024382.5,2,Aves,444,False,NCBI_RefSeq
gallus_gallus,gallus_gallus,XP_040523787.1,2,Aves,441,False,NCBI_RefSeq
callorhinchus_milii,callorhinchus_milii,XP_042194051.1,2,Chondrichthyes,400,False,NCBI_RefSeq
petromyzon_marinus,petromyzon_marinus,XP_032830195.2,2,Cyclostomata,551,False,NCBI_RefSeq
caenorhabditis_elegans,caenorhabditis_elegans,NP_741621.1,2,Nematoda,723,False,NCBI_RefSeq
anolis_carolinensis,anolis_carolinensis,XP_062831670.1,2,Reptilia,432,False,NCBI_RefSeq
chrysemys_picta_bellii,chrysemys_picta_bellii,XP_005291323.2,2,Reptilia,422,False,NCBI_RefSeq
latimeria_chalumnae,latimeria_chalumnae,XP_006006877.1,2,Sarcopterygii(fish),386,False,NCBI_RefSeq
ciona_intestinalis,ciona_intestinalis,XP_002127497.2,2,Tunicata,329,False,NCBI_RefSeq
